Time(s),Veh_Speed,Est_Veh_Speed,W0_Speed,W1_Speed,W2_Speed,W3_Speed,P0,P1,P2,P3,ABS_Active
0.000,30.000,30.228,30.000,30.000,30.000,30.000,10.000,10.000,10.000,10.000,0
0.020,29.984,30.123,29.950,29.950,29.950,29.950,20.000,20.000,20.000,20.000,0
0.040,29.952,29.880,29.850,29.850,29.850,29.850,30.000,30.000,30.000,30.000,0
0.060,29.904,29.754,29.700,29.700,29.700,29.700,40.000,40.000,40.000,40.000,0
0.080,29.840,29.261,29.500,29.500,29.500,29.500,50.000,50.000,50.000,50.000,0
0.100,29.760,29.276,29.250,29.250,29.250,29.250,60.000,60.000,60.000,60.000,0
0.120,29.664,28.939,28.950,28.950,28.950,28.950,70.000,70.000,70.000,70.000,0
0.140,29.552,28.670,28.600,28.600,28.600,28.600,80.000,80.000,80.000,80.000,0
0.160,29.424,28.064,28.200,28.200,28.200,28.200,90.000,90.000,90.000,90.000,0
0.180,29.280,27.487,27.750,27.750,27.750,27.750,100.000,100.000,100.000,100.000,0
0.200,29.120,27.130,27.250,27.250,27.250,27.250,100.000,100.000,100.000,100.000,0
0.220,28.960,26.579,26.750,26.750,26.750,26.750,100.000,100.000,100.000,100.000,0
0.240,28.800,26.333,26.250,26.250,26.250,26.250,100.000,100.000,100.000,100.000,0
0.260,28.640,25.833,25.750,25.750,25.750,25.750,100.000,100.000,100.000,100.000,0
0.280,28.480,25.359,25.250,25.250,25.250,25.250,100.000,100.000,100.000,100.000,0
0.300,28.320,24.673,24.750,24.750,24.750,24.750,100.000,100.000,100.000,100.000,0
0.320,28.160,24.381,24.250,24.250,24.250,24.250,100.000,100.000,100.000,100.000,0
0.340,28.000,23.553,23.750,23.750,23.750,23.750,100.000,100.000,100.000,100.000,0
0.360,27.840,23.364,23.250,23.250,23.250,23.250,100.000,100.000,100.000,100.000,0
0.380,27.680,22.720,22.750,22.750,22.750,22.750,100.000,100.000,100.000,100.000,0
0.400,27.520,22.272,22.250,22.250,22.250,22.250,100.000,100.000,100.000,100.000,0
0.420,27.360,21.998,21.750,21.750,21.750,21.750,100.000,100.000,100.000,100.000,0
0.440,27.200,21.190,21.250,21.250,21.250,21.250,100.000,100.000,100.000,100.000,0
0.460,27.040,20.569,20.750,20.750,20.750,20.750,100.000,100.000,100.000,100.000,0
0.480,26.880,20.183,20.250,20.250,20.250,20.250,100.000,100.000,100.000,100.000,0
0.500,26.720,19.845,19.750,19.750,19.750,19.750,100.000,100.000,100.000,100.000,0
0.520,26.560,19.325,19.250,19.250,19.250,19.250,100.000,100.000,100.000,100.000,0
0.540,26.400,18.521,18.750,18.750,18.750,18.750,100.000,100.000,100.000,100.000,0
0.560,26.240,18.194,18.250,18.250,18.250,18.250,100.000,100.000,100.000,100.000,0
0.580,26.080,17.674,17.750,17.750,17.750,17.750,100.000,100.000,100.000,100.000,0
0.600,25.920,17.208,17.250,17.250,17.250,17.250,100.000,100.000,100.000,100.000,0
0.620,25.760,16.994,16.750,16.750,16.750,16.750,100.000,100.000,100.000,100.000,0
0.640,25.600,16.238,16.250,16.250,16.250,16.250,100.000,100.000,100.000,100.000,0
0.660,25.440,15.619,15.750,15.750,15.750,15.750,100.000,100.000,100.000,100.000,0
0.680,25.280,15.389,15.250,15.250,15.250,15.250,100.000,100.000,100.000,100.000,0
0.700,25.120,14.935,14.750,14.750,14.750,14.750,100.000,100.000,100.000,100.000,0
0.720,24.960,14.345,14.250,14.250,14.250,14.250,100.000,100.000,100.000,100.000,0
0.740,24.800,13.824,13.750,13.750,13.750,13.750,100.000,100.000,100.000,100.000,0
0.760,24.640,13.023,13.250,13.250,13.250,13.250,100.000,100.000,100.000,100.000,0
0.780,24.480,12.421,12.750,12.750,12.750,12.750,100.000,100.000,100.000,100.000,0
0.800,24.320,12.177,12.250,12.250,12.250,12.250,100.000,100.000,100.000,100.000,0
0.820,24.160,11.658,11.750,11.750,11.750,11.750,100.000,100.000,100.000,100.000,0
0.840,24.000,11.195,11.250,11.250,11.250,11.250,100.000,100.000,100.000,100.000,0
0.860,23.840,10.565,10.750,10.750,10.750,10.750,100.000,100.000,100.000,100.000,0
0.880,23.680,10.574,10.250,10.250,10.250,10.250,100.000,100.000,100.000,100.000,0
0.900,23.520,9.725,9.750,9.750,9.750,9.750,100.000,100.000,100.000,100.000,0
0.920,23.360,9.027,9.250,9.250,9.250,9.250,100.000,100.000,100.000,100.000,0
0.940,23.200,8.961,8.750,8.750,8.750,8.750,100.000,100.000,100.000,100.000,0
0.960,23.040,7.867,8.250,8.250,8.250,8.250,100.000,100.000,100.000,100.000,0
0.980,22.880,7.826,7.750,7.750,7.750,7.750,100.000,100.000,100.000,100.000,0
1.000,22.720,7.310,7.250,7.250,7.250,7.250,100.000,100.000,100.000,100.000,0
1.020,22.560,6.826,6.750,6.750,6.750,6.750,100.000,100.000,100.000,100.000,0
1.040,22.400,6.567,6.250,6.250,6.250,6.250,100.000,100.000,100.000,100.000,0
1.060,22.240,5.826,5.750,5.750,5.750,5.750,100.000,100.000,100.000,100.000,0
1.080,22.080,5.199,5.250,5.250,5.250,5.250,100.000,100.000,100.000,100.000,0
1.100,21.920,4.805,4.750,4.750,4.750,4.750,100.000,100.000,100.000,100.000,0
1.120,21.760,4.397,4.250,4.250,4.250,4.250,100.000,100.000,100.000,100.000,0
1.140,21.600,3.502,3.750,3.750,3.750,3.750,100.000,100.000,100.000,100.000,0
1.160,21.440,3.313,3.250,3.250,3.250,3.250,100.000,100.000,100.000,100.000,0
1.180,21.280,2.403,2.750,2.750,2.750,2.750,100.000,100.000,100.000,100.000,0
1.200,21.120,2.147,2.250,2.250,2.250,2.250,100.000,100.000,100.000,100.000,0
1.220,20.960,1.773,1.750,1.750,1.750,1.750,100.000,90.000,90.000,100.000,1
1.240,20.808,1.297,1.250,1.600,1.600,1.250,100.000,100.000,100.000,100.000,0
